OrderID,CustomerID,EmployeeID,OrderDate,Employee Name,Sales,Freight,ShipVia,Shipper CompanyName,Customer ComapanyName,ProductID,ProductName,CategoryID,CategoryName,TerritoryID,RegionID,RegionDescription,SupplierID,Supplier CompanyName,Quantity,UnitPrice,Discount
10248,VINET,5,04-07-1996,Buchanan Steven,440,32.38,3,Federal Shipping,Vins et alcools Chevalier,11,Queso Cabrales,4,Dairy Products,02903,1,Eastern,5,Cooperativa de Quesos 'Las Cabras',27,58.6,0
10249,TOMSP,6,05-07-1996,Suyama Michael,1863.4,11.61,1,Speedy Express,Toms Spezialitäten,14,Tofu,7,Produce,85014,2,Western,6,Mayumi's,49,61,0
10250,HANAR,4,08-07-1996,Peacock Margaret,1812.7,65.83,2,United Package,Hanari Carnes,41,Jack's New England Clam Chowder,8,Seafood,20852,1,Eastern,19,New England Seafood Cannery,60,66.9,0
10251,VICTE,3,08-07-1996,Leverling Janet,670.7,41.34,1,Speedy Express,Victuailles en stock,22,Gustaf's Knäckebröd,5,Grains/Cereals,30346,4,Southern,9,PB Knäckebröd AB,41,49.2,0.050000001
10255,RICSU,9,12-07-1996,Dodsworth Anne,479.4,148.33,3,Federal Shipping,Richter Supermarkt,2,Chang,1,Beverages,03049,3,Northern,1,Exotic Liquids,39,34.6,0
10262,RATTC,8,22-07-1996,Callahan Laura,2464.05,48.29,3,Federal Shipping,Rattlesnake Canyon Grocery,5,Chef Anton's Gumbo Mix,2,Condiments,19428,3,Northern,2,New Orleans Cajun Delights,184,46.2,0.200000003
10265,BLONP,2,25-07-1996,Fuller Andrew,1101.2,55.28,3,Federal Shipping,Blondesddsl père et fils,17,Alice Mutton,6,Meat/Poultry,01581,1,Eastern,7,"Pavlova, Ltd.",14,126.8,0
10289,BSBEV,7,26-08-1996,King Robert,516.8,22.77,2,United Package,B's Beverages,3,Aniseed Syrup,2,Condiments,60179,2,Western,1,Exotic Liquids,44,23.2,0
10252,SUPRD,4,09-07-1996,Peacock Margaret,2490.5,51.3,3,Federal Shipping,Suprêmes délices,20,Sir Rodney's Marmalade,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",110,88.3,0.050000001
10253,HANAR,3,10-07-1996,Leverling Janet,624.6,58.17,3,Federal Shipping,Hanari Carnes,31,Gorgonzola Telino,4,Dairy Products,30346,4,Southern,14,Formaggi Fortini s.r.l.,29,71.4,0
10254,CHOPS,5,11-07-1996,Buchanan Steven,1176,22.98,1,Speedy Express,Chop-suey Chinese,24,Guaraná Fantástica,1,Beverages,02903,1,Eastern,10,Refrescos Americanas LTDA,50,43.2,0.150000006
10256,WELLI,3,15-07-1996,Leverling Janet,3729.9,13.97,2,United Package,Wellington Importadora,53,Perth Pasties,6,Meat/Poultry,30346,4,Southern,24,"G'day, Mate",105,94,0
10257,HILAA,4,16-07-1996,Peacock Margaret,1444.8,81.91,2,United Package,HILARION-Abastos,27,Schoggi Schokolade,3,Confections,20852,1,Eastern,11,Heli Süßwaren GmbH & Co. KG,102,40.4,0
10259,CENTC,4,18-07-1996,Peacock Margaret,517.8,3.25,2,United Package,Centro comercial Moctezuma,21,Sir Rodney's Scones,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",27,36.6,0
